ID,Character_Name,Real_Name,Publisher,Alignment,Gender,Species,Hair_Color,Eye_Color,Skin_Tone,Height_Class,Exact_Height_cm,Primary_Power_Type,Key_Powers_and_Traits,Strength_Tier,Intelligence_Tier,Signature_Weapon_Gear
146,Brainiac,Vril Dox,DC,Bad,Male,"Coluan/Cyborg",None,Pink,Green,Tall,198,Tech/Gadgets,"12th-level intellect, Shrink rays, Tendrils",Incalculable,Super-Genius,Skull Ship
147,Sinestro,Thaal Sinestro,DC,Neutral,Male,Korugarian,Black,Yellow,Magenta,Tall,201,Energy Projection,"Fear-based yellow light constructs, Flight",Cosmic/Godlike,Super-Genius,Yellow Power Ring
148,General Zod,Dru-Zod,DC,Bad,Male,Kryptonian,Black,Blue,Fair,Average,191,Physical,"Solar enhanced combatant, Kryptonian military general",Cosmic/Godlike,Genius,None
149,Bizarro,Bizarro,DC,Neutral,Male,Kryptonian Clone,Black,Black,Chalk White,Tall,191,Physical,"Flame breath, Freeze vision, Reverse Superman logic",Cosmic/Godlike,Average,None
150,Doomsday,Doomsday,DC,Bad,Male,Prehistoric Kryptonian,None,Red,Grey/Bone,Massive,244,Physical,"Adaptive reactive evolution, Bone spikes, Rage",Incalculable,Average,Bone Protrusions
151,Atrocitus,Atros,DC,Bad,Male,Ryut Alien,None,Yellow,Red,Massive,213,Energy Projection,"Napalm blood vomit, Red rage light constructs",Cosmic/Godlike,Gifted,Red Lantern Ring
152,Larfleeze,Larfleeze,DC,Neutral,Male,Ogdru,None,Purple,Orange,Tall,198,Energy Projection,"Orange avarice light constructs, Corpses summon",Cosmic/Godlike,Average,Orange Battery
153,Saint Walker,Bro'Dee Walker,DC,Good,Male,Astonian,None,White,Blue,Average,183,Energy Projection,"Blue hope constructs, Green ring overcharging",Cosmic/Godlike,Gifted,Blue Power Ring
154,Star Sapphire,Carol Ferris,DC,Neutral,Female,Human,Black,Blue,Fair,Short,170,Energy Projection,"Violet love constructs, Crystal encasement",Cosmic/Godlike,Gifted,Violet Star Ring
155,Kilowog,Kilowog,DC,Good,Male,Bolovaxian,None,Red,Pink,Massive,234,Energy Projection,"Power ring mastery, Bolovax raw brute strength",Incalculable,Genius,Green Lantern Ring
156,Guy Gardner,Guy Gardner,DC,Good,Male,"Human/Vuldarian",Red,Blue,Fair,Average,188,Energy Projection,"Willpower constructs, Vuldarian weapon shifting",Cosmic/Godlike,Average,Power Ring
157,John Stewart,John Stewart,DC,Good,Male,Human,Bald,Brown,Dark,Average,188,Energy Projection,"Architectural solid light engineering, Sniping",Cosmic/Godlike,Genius,Green Lantern Ring
158,Kyle Rayner,Kyle Rayner,DC,Good,Male,Human,Black,Green,Fair,Average,180,Energy Projection,"Artistic light constructs, White Lantern master",Cosmic/Godlike,Gifted,White Power Ring
159,Wally West,Wally West,DC,Good,Male,Human Mutate,Red,Green,Fair,Average,183,Physical,"Fastest Flash, Speed theft, Dimension traversing",Enhanced,Gifted,None
160,Reverse-Flash,Eobard Thawne,DC,Bad,Male,Human Mutate,Blond,Blue,Fair,Average,180,Physical,"Negative Speed Force, Time paradox immortality",Enhanced,Super-Genius,Tachyon Device
161,Hunter Zolomon,Hunter Zolomon,DC,Bad,Male,Human Mutate,Brown,Red,Fair,Average,185,Physical,"Individual timeline acceleration (relative speed)",Enhanced,Gifted,None
162,Captain Cold,Leonard Snart,DC,Neutral,Male,Human,Brown,Brown,Fair,Average,183,Tech/Gadgets,"Absolute Zero cold gun, Cyclical tactical mind",Street,Genius,Cold Gun
163,Heat Wave,Mick Rory,DC,Neutral,Male,Human,Bald,Blue,Fair,Average,180,Tech/Gadgets,"Custom flamethrower, Absolute heat stream",Street,Average,Flamethrower
164,Gorilla Grodd,Grodd,DC,Bad,Male,Gorilla,Black,Yellow,Fur,Massive,201,Psionic,"Simian brute mass, Alpha-telepathy, Mind blast",Incalculable,Super-Genius,None
165,King Shark,Nanaue,DC,Neutral,Male,Demigod Shark,None,Black,Grey,Massive,221,Physical,"Deep sea pressure durability, Massive jaws, Claws",Incalculable,Average,None
166,Killer Croc,Waylon Jones,DC,Neutral,Male,Metahuman,None,Yellow,Green Scales,Massive,229,Physical,"Reptilian scale armor, Claws, Regenerating teeth",Superhuman,Average,None
167,Clayface,Basil Karlo,DC,Bad,Male,Human Mutate,None,Yellow,Brown Clay,Massive,244,Physical,"Malleable clay morphing, Size shifting, Disguise",Incalculable,Average,None
168,Man-Bat,Kirk Langstrom,DC,Neutral,Male,Human Mutate,Brown,Red,Fur,Tall,208,Physical,"Chiropteran flight wings, Echolocation bursts",Superhuman,Genius,None
169,Solomon Grundy,Cyrus Gold,DC,Neutral,Male,Zombie Mutate,White,Grey,Chalk White,Massive,239,Physical,"Undead resurrection, Immense brute resilience",Incalculable,Average,None
170,Lobo,Lobo,DC,Neutral,Male,Czarnian,Black,Red,Chalk White,Massive,229,Physical,"Unholy regeneration factor, Immortality, Tracker",Cosmic/Godlike,Genius,Hook on a Chain
171,Swamp Thing,Alec Holland,DC,Good,Male,Plant Elemental,Vegetation,Red,Moss Green,Massive,213,Physical,"Avatar of the Green, Regrowth from plant matter",Incalculable,Genius,None
172,Etrigan the Demon,"Etrigan / Jason Blood",DC,Neutral,Male,Demon,Bald,Red,Yellow,Tall,193,Magic/Mystic,"Hellfire breathing, Demonic sorcery, Rhymes",Incalculable,Gifted,Hellfire
173,Raven,Rachel Roth,DC,Good,Female,"Human/Demon","Black/Indigo",Indigo,Pale,Short,165,Magic/Mystic,"Soul-Self projection, Empathy, Dark magic",Street,Gifted,Chakra Stone
174,Starfire,Koriand'r,DC,Good,Female,Tamaranean,Auburn,Green,Orange,Tall,193,Energy Projection,"Ultraviolet starbolt emissions, Solar flight",Incalculable,Gifted,None
175,Beast Boy,Garfield Logan,DC,Good,Male,Human Mutate,Green,Green,Green,Short,173,Physical,Terrestrial and alien animal shapeshifting,Superhuman,Average,None
176,Donna Troy,Donna Troy,DC,Good,Female,Amazon,Black,Blue,Fair,Short,175,Physical,"Amazonian god physiology, Lasso of Persuasion",Cosmic/Godlike,Gifted,Lasso of Persuasion
177,Arsenal,Roy Harper,DC,Good,Male,Human,Red,Hazel,Fair,Average,180,Martial Arts,"Trick bow shooting, Improvised projectile master",Street,Gifted,Compound Bow
178,Huntress,Helena Bertinelli,DC,Good,Female,Human,Black,Brown,Fair,Short,175,Martial Arts,"Crossbow lethality, Gotham underground combat",Street,Gifted,Hand Crossbow
179,Spectre,"Astaroth / Jim Corrigan",DC,Good,Male,Cosmic Entity,None,White,Chalk White,Variable,188,Cosmic,"Divine wrath embodiment, Omnipotent magic reality",Cosmic/Godlike,Omniscient,None
180,Deadman,Boston Brand,DC,Good,Male,Ghost,None,White,Pale White,Average,183,Magic/Mystic,"Intangible possession of living hosts, Flight",Street,Average,None
181,Vixen,Mari McCabe,DC,Good,Female,Human,Black,Amber,Dark,Short,175,Physical,Totem mimicry of animal kingdom attributes,Superhuman,Gifted,Tantu Totem
182,Plastic Man (Terrifics),Patrick O'Brian,DC,Good,Male,Human Mutate,Black,Blue,Fair,Average,185,Physical,Limitless bodily stretching and contouring,Incalculable,Average,None
183,Mister Miracle,Scott Free,DC,Good,Male,New God,Black,Blue,Fair,Average,183,Physical,"Escapology supremacy, Mother Box interfacing",Superhuman,Super-Genius,Aero-Discs
184,Big Barda,Barda Free,DC,Good,Female,New God,Black,Blue,Fair,Tall,198,Physical,"Apokoliptian combat training, Immense strength",Incalculable,Gifted,Mega-Rod
185,Orion,Orion,DC,Good,Male,New God,Red,Blue,Fair,Average,185,Physical,"Astro-Force harnessing, Wrath of the New Gods",Cosmic/Godlike,Gifted,Astro-Harness
186,Steppenwolf,Steppenwolf,DC,Bad,Male,New God,None,Red,Grey,Massive,244,Physical,"Apokolips military commander, Electro-axe power",Incalculable,Gifted,Electro-Axe
187,Granny Goodness,Granny Goodness,DC,Bad,Female,New God,Grey,Blue,Fair,Average,178,Physical,"Furies conditioning, Pain amplification, Torture",Superhuman,Genius,Torment Staff
188,Metron,Metron,DC,Neutral,Male,New God,Black,White,Fair,Average,185,Cosmic,"Repository of universal omniscience, Dimension pass",Street,Omniscient,Mobius Chair
189,Static,Virgil Hawkins,DC,Good,Male,Metahuman,Black,Brown,Dark,Short,170,Energy Projection,"Electromagnetism generation, Levitation disc",Street,Genius,Static Saucer
190,Captain Atom,Nathaniel Adam,DC,Good,Male,Human Mutate,Silver,Red,Silver Metal,Tall,193,Energy Projection,"Quantum Field manipulation, Energy blasts, Transmute",Cosmic/Godlike,Gifted,Dilustel Skin
191,Major Force,Clifford Zmeck,DC,Bad,Male,Human Mutate,Silver,Red,Silver Metal,Tall,196,Energy Projection,"Dark quantum manipulation, High durability",Cosmic/Godlike,Average,None
192,Black Manta,David Hyde,DC,Bad,Male,Human,Bald,Brown,Dark,Average,188,Tech/Gadgets,"Armor with optic heat lasers, Submersible flight",Enhanced,Genius,Manta Sub-Suit
193,Ocean Master,Orm Marius,DC,Bad,Male,Atlantean,Black,Blue,Fair,Average,180,Magic/Mystic,"Hydrokinesis, Lightning via trident, Combat",Incalculable,Gifted,Trident of Neptune
194,Mera,Mera,DC,Good,Female,Xebellian,Red,Blue,Fair,Short,175,Physical,"Hard-water manipulation, Dehydration, Aquatic",Incalculable,Gifted,None
195,Aqualad,Kaldur'ahm,DC,Good,Male,Atlantean,Bald,Brown,Dark,Average,178,Magic/Mystic,"Water-bearer energy constructs, Bio-electricity",Superhuman,Gifted,Water Bearers
196,Wonder Girl,Cassie Sandsmark,DC,Good,Female,Demigoddess,Blond,Blue,Fair,Short,165,Physical,"Zeus lightning lasso, Divine flight, Durability",Incalculable,Gifted,Silent Armor
197,Starman,Jack Knight,DC,Good,Male,Human,Black,Brown,Fair,Average,185,Energy Projection,Cosmic rod flight and photon blast emission,Street,Gifted,Cosmic Staff
198,Midnighter,Lucas Trent,DC,Neutral,Male,Cyborg Mutate,Black,Blue,Fair,Average,185,Physical,Battle computer brain (predicts million outcomes),Enhanced,Genius,Combat Tonfas
199,Apollo,Andrew Pulaski,DC,Good,Male,Human Mutate,White,Gold,Golden,Tall,193,Energy Projection,"Solar energy absorption, Photonic plasma release",Cosmic/Godlike,Gifted,None
200,Anti-Monitor,Mobius,DC,Bad,Male,Cosmic Entity,None,Yellow,Armored Dark,Massive,853,Cosmic,"Anti-matter universe consumption, Antimatter beams",Cosmic/Godlike,Super-Genius,Antimatter Armor
